ExchangeId,Effectivedate,Symbol,Open,High,Low,Close,Volume
NSE,26-10-2018,RELIANCE,1032.9,1057,1022,1044.9,9182613
NSE,29-10-2018,RELIANCE,1046,1093.85,1046,1087.8,7671807
NSE,30-10-2018,RELIANCE,1085.5,1085.5,1052.1,1057,8806701
NSE,31-10-2018,RELIANCE,1059,1065.85,1047,1061.25,16457691
NSE,01-11-2018,RELIANCE,1067.9,1067.9,1050,1056.25,9396027
NSE,02-11-2018,RELIANCE,1067,1081,1063.15,1074.9,16796200
NSE,05-11-2018,RELIANCE,1073.45,1092.7,1065,1090.3,7582518
NSE,06-11-2018,RELIANCE,1094,1112,1091.6,1104.1,8634266
NSE,07-11-2018,RELIANCE,1115,1115,1106.7,1110.7,1283997
NSE,09-11-2018,RELIANCE,1106.25,1113.8,1085,1093.45,10840462
NSE,12-11-2018,RELIANCE,1097.7,1098.8,1074.55,1080,5801720
NSE,13-11-2018,RELIANCE,1074,1103,1070.05,1099.45,6811598
NSE,14-11-2018,RELIANCE,1105.05,1112.65,1085.5,1097.95,7787530
NSE,15-11-2018,RELIANCE,1096.95,1103,1086.5,1096.85,6831740
NSE,16-11-2018,RELIANCE,1097.95,1129.95,1097.1,1127.4,11031889
NSE,19-11-2018,RELIANCE,1132.9,1151.7,1131,1150,7308981
NSE,20-11-2018,RELIANCE,1145,1155.9,1130,1137.4,5719901
NSE,21-11-2018,RELIANCE,1137.5,1145.5,1107.05,1112.9,7507812
NSE,22-11-2018,RELIANCE,1114.5,1125.35,1100.1,1102.85,5792568
NSE,26-11-2018,RELIANCE,1109,1117.5,1097.4,1109.75,6386556
NSE,27-11-2018,RELIANCE,1107.9,1130,1105.45,1128.2,6810228
NSE,28-11-2018,RELIANCE,1132.45,1157.75,1126.3,1152.65,8003964
NSE,29-11-2018,RELIANCE,1161,1179.9,1160,1168.5,12636169
NSE,30-11-2018,RELIANCE,1172.3,1186,1162.3,1167.55,10717448
NSE,03-12-2018,RELIANCE,1174.9,1174.9,1148.5,1156.45,5569578
NSE,04-12-2018,RELIANCE,1158,1158,1142.2,1152.3,5192825
NSE,05-12-2018,RELIANCE,1143.75,1158.8,1139.3,1155.15,5819618
NSE,06-12-2018,RELIANCE,1149,1149,1118.25,1123.65,5866108
NSE,07-12-2018,RELIANCE,1129.45,1136.95,1108.35,1133.8,7214078
NSE,10-12-2018,RELIANCE,1110,1114.3,1083.1,1090.25,9381544
NSE,11-12-2018,RELIANCE,1066,1102.1,1055,1097.55,13494665
NSE,12-12-2018,RELIANCE,1099,1113.5,1087.75,1110.5,12605431
NSE,13-12-2018,RELIANCE,1128,1128,1095.05,1107.05,9297518
NSE,14-12-2018,RELIANCE,1103.1,1114.9,1091.8,1112.2,7221324
NSE,17-12-2018,RELIANCE,1115.95,1133,1111.5,1129.9,5064357
NSE,18-12-2018,RELIANCE,1123.3,1139,1120.5,1136.4,5870928
NSE,19-12-2018,RELIANCE,1141.5,1147.3,1133.2,1136.8,7368799
NSE,20-12-2018,RELIANCE,1121,1132.5,1116.15,1128.45,5764731
NSE,21-12-2018,RELIANCE,1125,1131.25,1096,1100.2,8281941
NSE,24-12-2018,RELIANCE,1100.9,1103.2,1086.55,1089.15,4144535
NSE,26-12-2018,RELIANCE,1085.8,1100,1065.65,1098.35,7210059
NSE,27-12-2018,RELIANCE,1107.2,1127,1104,1120.2,12478000
NSE,28-12-2018,RELIANCE,1125.5,1135.25,1121.2,1125.55,7666016
NSE,31-12-2018,RELIANCE,1130.95,1133.85,1116.2,1121.25,7222817
NSE,01-01-2019,RELIANCE,1125.25,1127.3,1110.1,1121,4455850
NSE,02-01-2019,RELIANCE,1114.5,1127,1101,1106.4,7144970
NSE,03-01-2019,RELIANCE,1107.5,1114.6,1090.1,1092.75,7446457
NSE,04-01-2019,RELIANCE,1097.4,1104.45,1081.1,1098.65,8465141
NSE,07-01-2019,RELIANCE,1107,1118.45,1101,1104.75,5513559
NSE,08-01-2019,RELIANCE,1105.1,1109.95,1096,1104.65,5625153
NSE,09-01-2019,RELIANCE,1112,1117,1098.7,1110.75,5766805
NSE,10-01-2019,RELIANCE,1107.75,1111,1103,1107.5,4080283
NSE,11-01-2019,RELIANCE,1107.6,1113.8,1088.6,1098.05,6463903
NSE,14-01-2019,RELIANCE,1095,1100.5,1086.4,1096.8,4111782
NSE,15-01-2019,RELIANCE,1105,1132,1105,1129.65,10062875
NSE,16-01-2019,RELIANCE,1135,1145,1130.35,1135.9,6382777
NSE,17-01-2019,RELIANCE,1144.45,1147.9,1130,1134.45,7487963
NSE,18-01-2019,RELIANCE,1148.8,1189.9,1135.25,1184.35,25684142
NSE,21-01-2019,RELIANCE,1194,1239.95,1188.65,1237.7,22038534
